y,tariff,age,area,channel,m01.out.peak.count,m01.out.peak.duration,m01.out.peak.value,m01.out.offpeak.count,m01.out.offpeak.duration,m01.out.offpeak.value,m01.in.count,m01.in.duration,m01.sms.count,m01.custom.service.count,m02.out.peak.count,m02.out.peak.duration,m02.out.peak.value,m02.out.offpeak.count,m02.out.offpeak.duration,m02.out.offpeak.value,m02.in.count,m02.in.duration,m02.sms.count,m02.custom.service.count,m03.out.peak.count,m03.out.peak.duration,m03.out.peak.value,m03.out.offpeak.count,m03.out.offpeak.duration,m03.out.offpeak.value,m03.in.count,m03.in.duration,m03.sms.count,m03.custom.service.count,m04.out.peak.count,m04.out.peak.duration,m04.out.peak.value,m04.out.offpeak.count,m04.out.offpeak.duration,m04.out.offpeak.value,m04.in.count,m04.in.duration,m04.sms.count,m04.custom.service.count,m05.out.peak.count,m05.out.peak.duration,m05.out.peak.value,m05.out.offpeak.count,m05.out.offpeak.duration,m05.out.offpeak.value,m05.in.count,m05.in.duration,m05.sms.count,m05.custom.service.count,m06.out.peak.count,m06.out.peak.duration,m06.out.peak.value,m06.out.offpeak.count,m06.out.offpeak.duration,m06.out.offpeak.value,m06.in.count,m06.in.duration,m06.sms.count,m06.custom.service.count,m07.out.peak.count,m07.out.peak.duration,m07.out.peak.value,m07.out.offpeak.count,m07.out.offpeak.duration,m07.out.offpeak.value,m07.in.count,m07.in.duration,m07.sms.count,m07.custom.service.count,m08.out.peak.count,m08.out.peak.duration,m08.out.peak.value,m08.out.offpeak.count,m08.out.offpeak.duration,m08.out.offpeak.value,m08.in.count,m08.in.duration,m08.sms.count,m08.custom.service.count,payment_bank account,payment_credit card,payment_post account,gender_B,gender_F,gender_M,added.service.1_N,added.service.1_Y,added.service.2_N,added.service.2_Y
278,8,40.59,1,5,138,7758,53.1424,24,1253,5.6624,278,8957,0,0,35,3795,22.3719,10,998,2.904,211,13817,0,0,104,7714,48.4354,36,1505,8.1135,211,14285,0,0,83,6065,38.3066,16,758,3.5775,179,11037,0,0,82,4968,32.6406,16,752,3.563,138,7013,0,0,221,15643,98.5612,8,876,3.0523,243,11648,0,0,285,16625,102.5275,0,0,0.0,265,15241,0,0,152,12404,70.0476,0,0,0.0,117,8231,0,2,False,True,False,False,False,True,True,False,False,True
8,8,24.09,1,7,0,0,0.0,0,0,0.0,0,0,0,0,3,214,1.4063,0,0,0.0,3,55,0,1,7,651,4.0578,0,0,0.0,2,28,0,0,7,664,4.1249,0,0,0.0,0,0,0,0,8,369,2.7166,0,0,0.0,5,644,2,1,1,127,0.754,0,0,0.0,1,9,0,0,22,2751,16.3655,0,0,0.0,28,4641,0,1,0,0,0.0,0,0,0.0,1,15,0,0,True,False,False,False,False,True,True,False,True,False
15,8,18.78,2,3,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,21,1327,8.9678,0,0,0.0,29,1978,0,0,False,True,False,False,False,True,True,False,True,False
56,8,21.67,1,5,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,13,834,5.6154,0,0,0.0,13,628,0,0,26,1642,11.0987,0,0,0.0,20,593,0,0,54,5761,35.0932,0,0,0.0,103,2893,0,0,116,11446,70.625,0,0,0.0,47,3717,0,0,False,True,False,False,False,True,True,False,True,False
10,6,33.27,1,5,13,1103,5.0917,0,0,0.0,29,3057,0,0,14,662,3.6958,0,0,0.0,21,664,0,0,9,322,2.024,0,0,0.0,19,1357,0,0,11,770,3.7521,0,0,0.0,31,2086,0,0,21,1028,5.665,0,0,0.0,34,1866,0,0,12,421,2.5668,0,0,0.0,11,440,0,0,15,405,2.9257,0,0,0.0,29,2043,0,0,40,3381,15.6218,0,0,0.0,91,11141,0,0,False,True,False,False,True,False,True,False,True,False
57,8,18.59,4,5,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,8,537,3.577,0,0,0.0,12,478,0,0,True,False,False,True,False,False,False,True,True,False
525,7,25.01,2,5,15,842,4.4111,0,0,0.0,19,299,0,0,451,49104,213.3556,0,0,0.0,479,29338,0,0,628,58614,263.7432,0,0,0.0,480,44214,0,1,535,44928,207.8424,0,0,0.0,334,36796,0,0,572,54898,245.6419,0,0,0.0,373,41010,0,0,708,60881,280.0193,0,0,0.0,329,37701,0,0,732,61594,284.6184,0,0,0.0,454,49501,4,0,447,41346,186.3717,0,0,0.0,328,20444,2,0,False,True,False,True,False,False,False,True,True,False
38,7,31.63,3,5,11,552,3.8223,9,591,2.432,69,2668,0,0,16,1442,8.6677,12,574,2.698,67,4249,0,0,50,3230,20.8778,1,107,0.3749,179,11991,0,0,46,2158,12.3005,0,0,0.0,113,11042,0,0,49,2489,13.5188,0,0,0.0,64,7212,0,0,26,1571,8.0232,0,0,0.0,55,6480,0,0,64,2580,15.3765,0,0,0.0,64,5973,0,0,31,2269,10.9133,0,0,0.0,17,977,0,0,True,False,False,True,False,False,True,False,True,False
91,8,31.47,2,5,22,3599,20.711,0,0,0.0,3,60,0,0,71,6141,38.7957,0,0,0.0,10,103,0,0,92,5093,35.3907,0,0,0.0,14,236,0,0,56,3747,24.9831,0,0,0.0,27,1995,1,0,100,9560,59.1002,0,0,0.0,39,795,2,0,127,6321,45.503,0,0,0.0,62,2879,0,1,76,5037,33.6544,0,0,0.0,42,1953,1,2,88,6666,43.2404,0,0,0.0,53,3852,0,0,True,False,False,False,False,True,True,False,True,False
144,8,40.91,2,5,91,16488,86.3774,21,4542,11.2133,175,31187,0,0,152,22600,125.5512,17,2519,8.1569,144,19175,0,0,68,7659,44.2888,13,1845,6.0322,112,20166,0,0,93,10371,60.066,33,8231,24.3246,126,13837,0,0,18,882,6.1515,13,77,1.5406,12,714,0,0,0,0,0.0,0,0,0.0,7,113,0,0,140,30676,59.8935,0,0,0.0,25,2251,0,0,133,52013,61.3489,0,0,0.0,21,4830,0,0,False,False,True,False,True,False,False,True,True,False
5,8,17.04,3,5,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,False,True,False,False,False,True,True,False,True,False
16,8,20.65,3,5,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,8,1443,6.841,0,0,0.0,2,200,2,2,5,298,2.0436,0,0,0.0,2,1141,3,0,42,6706,29.5031,0,0,0.0,5,514,0,0,False,True,False,False,False,True,False,True,True,False
21,7,21.31,2,9,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,40,2207,11.6316,0,0,0.0,44,3569,0,0,25,1550,7.8507,0,0,0.0,19,1254,0,0,31,4074,17.0457,0,0,0.0,65,4738,0,0,False,True,False,True,False,False,True,False,True,False
15,3,38.91,1,7,18,1570,9.4987,6,200,1.1274,9,655,0,0,34,3985,22.8997,5,265,1.0866,12,418,0,0,15,1073,6.7697,9,608,2.4743,30,741,0,0,20,894,6.4154,3,241,0.9224,12,303,0,0,18,1268,8.0273,15,683,3.2847,26,919,0,0,15,749,5.193,9,219,1.4864,15,399,0,0,31,2983,17.8307,1,63,0.2025,21,743,0,0,13,986,6.1402,0,0,0.0,18,1417,0,0,True,False,False,True,False,False,True,False,True,False
158,6,42.72,3,5,97,7071,34.0521,0,0,0.0,113,4878,0,0,47,3433,16.5225,0,0,0.0,87,6568,0,0,228,20828,94.3298,0,0,0.0,159,13783,0,0,82,5138,25.9313,0,0,0.0,114,11612,0,1,147,20780,85.8036,0,0,0.0,136,10276,0,1,267,57949,224.5007,0,0,0.0,243,15024,0,1,325,84543,320.7698,0,0,0.0,193,15673,0,0,113,24376,94.5075,0,0,0.0,88,8703,0,0,False,True,False,True,False,False,True,False,True,False
103,7,18.65,2,5,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,71,6518,29.4845,0,0,0.0,47,5092,0,7,False,True,False,True,False,False,True,False,True,False
53,8,21.83,2,9,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,32,1228,9.5973,0,0,0.0,13,211,0,0,40,2651,17.7129,0,0,0.0,51,3063,0,0,38,3472,21.7129,0,0,0.0,104,9828,0,0,58,2518,18.892,0,0,0.0,104,10550,1,0,False,True,False,False,False,True,True,False,True,False
65,7,45.44,3,9,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,45,1965,11.1854,0,0,0.0,25,981,0,0,78,4566,23.3408,0,0,0.0,41,805,0,0,93,3254,20.3944,0,0,0.0,32,860,0,0,96,4120,23.4967,0,0,0.0,38,996,0,0,89,4799,24.8628,0,0,0.0,29,786,0,0,False,False,True,False,False,True,True,False,False,True
142,7,24.42,2,5,0,0,0.0,0,0,0.0,0,0,0,0,64,3486,17.8488,0,0,0.0,200,10974,2,3,223,15756,73.577,0,0,0.0,391,22318,0,0,292,20668,98.2528,0,0,0.0,383,18410,0,0,209,14372,69.0183,0,0,0.0,312,17262,0,1,39,2178,11.3176,0,0,0.0,324,23149,2,0,322,23364,111.6745,0,0,0.0,258,21339,9,0,0,0,0.0,0,0,0.0,114,6933,0,0,False,True,False,True,False,False,False,True,True,False
115,7,31.63,1,5,90,6914,29.4613,27,886,5.0282,43,1345,0,0,100,9844,58.2186,32,880,5.3939,39,1971,0,2,110,7481,47.7594,24,1444,6.1479,24,1327,0,0,59,3362,22.1312,9,350,1.7002,31,565,0,0,41,3114,19.3837,10,544,2.4155,44,1270,0,0,63,4245,23.9326,3,141,0.6688,76,2731,0,0,104,8211,36.8316,0,0,0.0,44,2020,42,0,147,15153,60.412,0,0,0.0,42,2694,2,0,False,True,False,False,True,False,False,True,True,False
2,8,44.16,2,7,17,1095,7.0822,11,571,2.5874,59,1433,0,0,8,380,2.6747,10,339,1.8944,25,498,0,0,25,1726,10.9809,17,718,3.4778,54,2090,0,0,29,1160,8.6398,19,1309,5.2896,71,3166,0,0,28,1582,10.5905,27,1727,7.1767,39,1264,0,0,25,1004,7.468,9,182,1.3919,30,942,0,0,14,619,4.4575,11,505,2.4191,22,517,0,0,23,1623,10.2723,8,711,2.6339,33,1266,0,0,True,False,False,True,False,False,True,False,True,False
0,8,16.65,2,5,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,False,True,False,True,False,False,False,True,True,False
44,8,19.8,1,3,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,109,5259,37.4741,0,0,0.0,24,1136,2,2,72,5068,23.6109,0,0,0.0,17,923,1,0,False,True,False,True,False,False,True,False,False,True
19,8,17.63,1,5,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,False,True,False,False,False,True,False,True,True,False
0,7,27.96,2,5,3,760,2.8927,0,0,0.0,1,710,0,0,4,296,1.4187,0,0,0.0,4,322,0,0,42,3545,16.3861,0,0,0.0,52,5254,0,0,32,3224,14.2614,0,0,0.0,67,7251,0,0,3,113,0.6941,0,0,0.0,35,6904,0,0,32,2871,13.0627,0,0,0.0,58,5553,0,0,63,6905,29.9721,0,0,0.0,93,10787,0,0,43,2358,12.4564,0,0,0.0,72,10722,0,0,True,False,False,False,False,True,True,False,True,False
13,7,22.0,2,5,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,3,94,0.6296,0,0,0.0,13,613,0,0,23,1575,7.7288,0,0,0.0,91,4123,0,0,16,923,4.7876,0,0,0.0,62,2594,0,0,9,504,2.6422,0,0,0.0,79,3045,0,0,7,195,1.2824,0,0,0.0,64,3157,0,0,True,False,False,True,False,False,True,False,True,False
0,8,16.16,1,9,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,False,True,False,False,False,True,True,False,True,False
16,8,27.11,3,7,56,6338,38.2555,0,0,0.0,92,4903,0,0,53,4169,26.8356,0,0,0.0,85,3469,0,0,52,5224,32.135,0,0,0.0,61,3086,0,0,134,15686,94.101,0,0,0.0,69,3762,0,0,69,8175,48.9059,0,0,0.0,60,1872,0,0,52,3735,24.5059,0,0,0.0,59,1145,0,0,7,726,4.4426,0,0,0.0,28,663,0,0,26,4586,26.1807,0,0,0.0,34,1554,0,0,False,True,False,True,False,False,True,False,True,False
81,3,34.95,2,5,0,0,0.0,0,0,0.0,18,160,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,27,203,0,0,0,0,0.0,0,0,0.0,3,48,0,0,7,856,4.8877,0,0,0.0,6,48,0,0,8,629,3.8863,2,44,0.3187,6,48,0,0,37,1865,12.8964,4,166,0.8346,58,763,0,0,36,2569,16.2173,13,1002,3.8884,51,2688,0,0,True,False,False,True,False,False,True,False,True,False
167,7,30.75,2,5,133,9083,44.3998,0,0,0.0,175,14113,5,1,70,4033,20.9361,0,0,0.0,148,12180,16,1,129,6703,36.0001,0,0,0.0,230,20976,15,0,169,8952,47.7712,0,0,0.0,255,23694,2,0,153,8634,45.1456,0,0,0.0,249,22841,0,2,115,6097,31.6423,0,0,0.0,240,22097,13,4,172,11934,51.813,0,0,0.0,230,18963,15,7,75,6256,26.8744,0,0,0.0,117,11563,14,6,False,False,True,True,False,False,False,True,True,False
0,3,33.57,3,5,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,False,False,True,False,False,True,False,True,True,False
112,7,37.14,3,5,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,47,15076,56.0872,0,0,0.0,19,1976,11,0,False,True,False,False,False,True,False,True,True,False
247,7,25.44,3,3,1,30,0.6197,0,0,0.0,4,48,0,0,47,5572,33.4013,0,0,0.0,13,349,75,7,106,9382,59.014,0,0,0.0,41,1806,90,14,117,9792,62.2527,0,0,0.0,9,299,52,2,69,4714,31.2777,0,0,0.0,26,1714,35,0,60,4302,28.2388,0,0,0.0,10,827,37,2,133,13033,67.1895,0,0,0.0,20,2677,28,4,78,6994,31.8256,0,0,0.0,6,940,13,7,False,True,False,False,False,True,False,True,True,False
51,7,22.78,2,3,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,33,3341,14.7629,0,0,0.0,19,1536,0,0,1,61,0.3104,0,0,0.0,11,744,0,0,False,True,False,True,False,False,True,False,True,False
13,8,30.75,3,3,4,625,3.4541,4,287,1.1419,1,65,0,1,3,433,2.416,3,314,1.1078,1,159,0,0,2,224,1.2963,4,290,1.1501,4,90,0,0,2,47,0.4354,0,0,0.0,1,3,0,3,14,1967,11.5237,0,0,0.0,4,241,0,2,28,2600,16.2121,0,0,0.0,15,2402,3,0,23,2887,17.167,0,0,0.0,26,3134,0,0,26,2501,15.4994,0,0,0.0,55,4026,2,3,False,True,False,True,False,False,True,False,True,False
42,8,50.09,3,5,26,1055,8.0913,9,407,1.6134,118,10472,18,11,34,1208,9.7006,0,0,0.0,61,3981,7,4,71,2212,18.4618,0,0,0.0,94,4283,17,5,87,3848,28.7021,0,0,0.0,72,3594,1,6,75,2711,20.9232,0,0,0.0,65,3973,5,6,54,2407,13.8095,0,0,0.0,70,6641,5,8,48,2390,12.1982,0,0,0.0,65,7081,11,3,45,1665,10.8642,0,0,0.0,55,3962,18,3,True,False,False,False,False,True,False,True,True,False
113,7,42.29,1,8,125,10990,55.5351,0,0,0.0,60,2643,42,2,117,19779,79.1,0,0,0.0,48,4374,23,0,211,19019,84.1215,0,0,0.0,109,5768,17,0,263,34138,142.2457,0,0,0.0,113,7032,6,0,135,14176,62.0048,0,0,0.0,91,4646,13,0,172,16580,74.0961,0,0,0.0,109,4087,23,1,173,24195,100.0899,0,0,0.0,97,5893,24,1,0,0,0.0,0,0,0.0,59,2484,4,0,False,False,True,False,False,True,True,False,True,False
198,8,40.68,1,7,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,335,28187,88.1866,0,0,0.0,96,10140,2,4,449,38873,119.426,0,0,0.0,111,13749,0,0,538,54980,136.2723,0,0,0.0,65,7048,0,4,386,30960,73.7346,0,0,0.0,39,3970,0,0,47,3043,9.4517,0,0,0.0,11,3715,0,0,False,False,True,False,False,True,False,True,True,False
36,3,46.59,1,5,30,3020,17.7914,30,1845,7.7856,54,1468,0,0,15,1241,7.5878,14,1281,4.7013,64,3008,26,0,80,19381,102.5518,38,3720,13.3768,20,1390,41,0,22,978,7.0295,4,140,0.769,32,1654,19,0,8,459,3.06,7,366,1.6527,44,2262,17,0,9,529,3.5042,13,1600,5.4083,46,4314,66,0,29,5860,31.3391,14,2519,7.9323,66,8504,27,0,12,1024,6.2223,4,356,1.318,66,7116,8,0,False,False,True,True,False,False,True,False,True,False
0,8,16.95,1,9,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,False,True,False,False,False,True,True,False,True,False
31,3,36.39,1,5,9,905,5.3324,20,1501,5.8793,7,580,0,0,11,726,4.6683,11,638,2.7568,10,575,0,0,6,207,1.6268,1,190,0.5862,3,63,0,0,7,498,3.1463,18,2830,9.0499,2,744,0,0,3,521,2.8446,17,904,4.0537,12,606,0,0,6,649,3.7768,8,638,2.4475,8,767,0,0,9,2306,12.1486,11,1013,3.6075,7,234,0,0,6,139,1.2963,10,1504,4.8552,8,510,0,0,True,False,False,False,False,True,True,False,True,False
